CFPLCode,ProductName,CarbonFootprint,CompanyName
1200407004,洗選雞蛋,"280g CO2e/ 1粒(PLA盒)",石安牧場
1200407002,洗選雞蛋,"280g CO2e/ 1粒(紙盒)",石安牧場
1200407005,洗選雞蛋,"280g CO2e/ 1粒(PLA盒)",石安牧場
1200407003,洗選雞蛋,"280g CO2e/ 1粒(紙盤)",石安牧場
1200407006,洗選雞蛋,"280g CO2e/ 1粒(PLA盒)",石安牧場
1200203001,新宇禎福記摃丸,"1.7kg CO2e/ 每包(600g)",新宇禎福記食品有限公司
1201902006,新華?龍炊粉,"550g CO2e/ 每包(250 g)",新華米粉廠有限公司
1202201007,"700 ml PET瓶裝水─味丹多喝水鹼性竹炭水","180g CO2e/ 一瓶(700ml)",味丹企業股份有限公司
1202201006,"5800ml PET 瓶裝水-味丹多喝水","900g CO2e/ 1瓶(5800ml)",味丹企業股份有限公司
1202201005,"2000ml PET 瓶裝水-味丹多喝水","340g CO2e/ 一瓶(2000ml)",味丹企業股份有限公司
1202201004,"1500ml PET 瓶裝水-味丹多喝水","240g CO2e/ 一瓶(1500ml)",味丹企業股份有限公司
1202201003,"600ml PET 瓶裝水-味丹多喝水","140g CO2e/ 一瓶(600ml)",味丹企業股份有限公司
1200203002,原味摃丸,"2kg CO2e/ 每包(600克)",海瑞食品有限公司
1200203003,香菇摃丸,"2kg CO2e/ 每包(600克)",海瑞食品有限公司
1203402001,台諾靈洗衣粉,"1.7kg CO2e/ 1盒 (紙盒，1kg)",台灣新日化股份有限公司
1201905003,台灣好麥土鳳梨酥,"90g CO2e/ 1件(重量28克)",財團法人育成社會福利基金會
1301006002,樂活好米,"1.5kg CO2e/ 每包1公斤",臺南市政府環境保護局
1300407001,幸福好蛋,"220g CO2e/ 1粒",勤億蛋品科技股份有限公司
1300407002,幸福巨蛋,"220g CO2e/ 1粒",勤億蛋品科技股份有限公司
1303402002,泡舒洗潔精(800g補充包),"340g CO2e/ 1包(LLDPE，800g)",耐斯企業股份有限公司
1303402008,泡舒洗潔精(5kg),"2.2kg CO2e/ 1瓶(PET，5kg)",耐斯企業股份有限公司
1303402011,泡舒抗菌洗潔精(檸檬精油)(800g補充包),"340g CO2e/ 1包(LLDPE，800g)",耐斯企業股份有限公司
1303402012,泡舒抗菌洗潔精(檸檬精油)(880g補充包),"360g CO2e/ 1包(LLDPE，880g)",耐斯企業股份有限公司
1303402017,泡舒抗菌洗潔精(檸檬精油)(5kg),"2kg CO2e/ 1瓶(PET，5kg)",耐斯企業股份有限公司
1303402016,泡舒抗菌洗潔精(檸檬精油)(3100g),"1.3kg CO2e/ 1瓶(PET，3100g)",耐斯企業股份有限公司
1303402015,泡舒抗菌洗潔精(檸檬精油)(2800g),"1.2kg CO2e/ 1瓶(PET，2800g)",耐斯企業股份有限公司
1303402014,泡舒抗菌洗潔精(檸檬精油)(1000g平頭),"400g CO2e/ 1瓶(PET，1000g)",耐斯企業股份有限公司
1303402013,泡舒抗菌洗潔精(檸檬精油)(1000g噴頭),"400g CO2e/ 1瓶(PET，1000g)",耐斯企業股份有限公司
1303402010,泡舒抗菌洗潔精(檸檬精油)(450g),"190g CO2e/ 1瓶(PET，450g)",耐斯企業股份有限公司
1303402009,泡舒洗潔精(20kg),"8.5kg CO2e/ 1瓶(HDPE，20kg)",耐斯企業股份有限公司
1303402007,泡舒洗潔精(3100g),"1.4kg CO2e/ 1瓶(PET，3100g)",耐斯企業股份有限公司
1303402006,泡舒洗潔精(2800g),"1.2kg CO2e/ 1瓶(PET，2800g)",耐斯企業股份有限公司
1303402005,泡舒洗潔精(1000g噴頭),"450g CO2e/ 1瓶(PET，1000g)",耐斯企業股份有限公司
1303402004,泡舒洗潔精(1000g平頭),"450g CO2e/ 1瓶(PET，1000g)",耐斯企業股份有限公司
1303402001,泡舒洗潔精(600g),"260g CO2e/ 1瓶(PET，600g)",耐斯企業股份有限公司
1303402003,泡舒洗潔精(880g補充包),"380g CO2e/ 1包(LLDPE，880g)",耐斯企業股份有限公司
1301006001,霧峰香米2kg,"4.5kg CO2e/ 每包2公斤",臺中市霧峰區農會
1300407004,視好蛋(15粒入),"200g CO2e/ 1粒",勤億蛋品科技股份有限公司
1300407003,視好蛋(8粒入),"200g CO2e/ 1粒",勤億蛋品科技股份有限公司
1306810001,高壓混凝土地磚,"2.2kg CO2e/ 每塊",晶泰水泥加工廠股份有限公司
1306810002,高壓混凝土地磚,"1.7kg CO2e/ 每塊",晶泰水泥加工廠股份有限公司
1306810003,高壓混凝土地磚,"4.5kg CO2e/ 每塊",晶泰水泥加工廠股份有限公司
1306810004,高壓混凝土地磚,"9kg CO2e/ 每塊",晶泰水泥加工廠股份有限公司
1306810005,高壓混凝土地磚,"2.8kg CO2e/ 每塊",晶泰水泥加工廠股份有限公司
1306810006,高壓混凝土地磚,"7.5kg CO2e/ 每塊",晶泰水泥加工廠股份有限公司
1306810007,高壓混凝土地磚,"11kg CO2e/ 每塊",晶泰水泥加工廠股份有限公司
1306810008,高壓混凝土地磚,"16kg CO2e/ 每塊",晶泰水泥加工廠股份有限公司
1302106001,焦糖烤布丁,"340g CO2e/ 每個(150g，含PE及PP包材)",紅磚布丁
1303905001,水性白膠NP-3761G(1公斤),"1.1kg CO2e/ 1公斤(每包)",南寶樹脂化學工廠股份有限公司
1300407005,紅殼雞蛋(3斤),"170g CO2e/ 1粒(紙盒)",麗園農牧科技股份有限公司
1300407007,紅殼雞蛋(12粒),"170g CO2e/ 1粒(紙盒)",麗園農牧科技股份有限公司
1300407008,紅殼雞蛋(30粒),"200g CO2e/ 1粒(紙盒)",麗園農牧科技股份有限公司
1300407009,自然紅玉子(10顆),"160g CO2e/ 1顆(PLA盒)",福頂企業股份有限公司
1300407010,自然白玉子(10顆),"160g CO2e/ 1顆(PLA盒)",福頂企業股份有限公司
1300714001,冰烤蕃藷(350公克),"450g CO2e/ 350公克(每盒)",瓜瓜園企業有限公司
